date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-09-07;LYS;AJA;J120;2027-01-05;203;;;;EUR
2026-09-07;LYS;AJA;J90;2026-12-06;154;normal;100;365;EUR
2026-09-07;LYS;AJA;J60;2026-11-06;141;normal;90;285;EUR
2026-09-07;LYS;AJA;J30;2026-10-07;201;;;;EUR
2026-09-07;LYS;AJA;J7;2026-09-14;84;normal;70;235;EUR
