date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-09-07;AJA;TLS;J120;2027-01-05;178;;;;EUR
2026-09-07;AJA;TLS;J90;2026-12-06;79;bas;110;370;EUR
2026-09-07;AJA;TLS;J60;2026-11-06;114;bas;120;370;EUR
2026-09-07;AJA;TLS;J30;2026-10-07;234;;;;EUR
2026-09-07;AJA;TLS;J7;2026-09-14;198;normal;115;340;EUR
