date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-09-07;ORY;AJA;J120;2027-01-05;81;bas;85;260;EUR
2026-09-07;ORY;AJA;J90;2026-12-06;80;;;;EUR
2026-09-07;ORY;AJA;J60;2026-11-06;115;normal;105;255;EUR
2026-09-07;ORY;AJA;J30;2026-10-07;154;normal;120;280;EUR
2026-09-07;ORY;AJA;J7;2026-09-14;281;élevé;120;280;EUR
