Date_Capture_Seule,Départ,Arrivée,Date vol,Prix_Min,Prix_Moyen,Prix_Max,Nombre_Vols
2026-07-29,ORY,AJA,05/08/2026,51.0,112.88,332.0,8
2026-07-29,ORY,BIA,05/08/2026,51.0,112.88,332.0,8
2026-07-29,ORY,CLY,05/08/2026,51.0,114.47,332.0,15
2026-07-29,ORY,FSC,05/08/2026,51.0,112.88,332.0,8
2026-07-30,ORY,AJA,06/08/2026,51.0,116.29,332.0,21
2026-07-30,ORY,BIA,06/08/2026,51.0,116.29,332.0,21
2026-07-30,ORY,CLY,06/08/2026,51.0,116.29,332.0,14
2026-07-30,ORY,FSC,06/08/2026,51.0,116.29,332.0,7
