Date Interrogation,Date Vol,Liaison,Vol,Depart,Arrivee,Light (€),Standard (€),Top (€)
02/08/2026,09/08/2026,BIA-NCE,XK206,18:30,19:20,311.87,323.87,342.87
02/08/2026,09/08/2026,BIA-MRS,XK250,07:00,07:55,255.87,280.87,299.87
02/08/2026,09/08/2026,BIA-MRS,XK254,15:50,16:45,311.87,323.87,342.87
02/08/2026,09/08/2026,BIA-MRS,XK256,20:35,21:30,255.87,280.87,299.87
02/08/2026,09/08/2026,BIA-CDG,XK1603,11:25,13:15,290.25,316.25,342.25
02/08/2026,09/08/2026,BIA-ORY,XK1201,09:25,11:10,294.76,320.76,346.76
02/08/2026,09/08/2026,BIA-ORY,XK1207,10:20,12:05,294.76,320.76,346.76
02/08/2026,09/08/2026,BIA-ORY,XK782,10:40,12:20,327.76,353.76,379.76
02/08/2026,09/08/2026,BIA-ORY,XK1203,14:50,16:35,294.76,320.76,346.76
02/08/2026,09/08/2026,BIA-ORY,XK786,19:05,20:45,327.76,353.76,379.76
02/08/2026,09/08/2026,BIA-ORY,XK7599,20:10,21:55,294.76,320.76,346.76
02/08/2026,09/08/2026,AJA-TLS,XK720,10:30,12:15,248.05,261.05,284.05
02/08/2026,09/08/2026,AJA-LYS,XK130,11:55,13:00,164.05,180.05,206.05
02/08/2026,09/08/2026,AJA-MRS,XK150,07:00,07:50,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK154,15:55,16:45,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK156,20:40,21:30,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK770,06:55,08:35,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK5300,07:30,09:10,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1135,09:30,11:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK1101,14:50,16:35,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-ORY,XK774,15:55,17:35,392.43,418.43,444.43
02/08/2026,09/08/2026,AJA-ORY,XK776,19:05,20:45,327.43,353.43,379.43
02/08/2026,09/08/2026,AJA-ORY,XK1105,20:30,22:15,294.43,320.43,346.43
02/08/2026,09/08/2026,AJA-MRS,XK150,07:00,07:50,255.56,280.56,299.56
02/08/2026,09/08/2026,AJA-MRS,XK154,15:55,16:45,255.56,280.56,299.56
